,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,D,vacation,new,RENT,Not Verified,,32000,,13.45,,127.94,,16.49,,3600,,709,,22.9,,3971.241049
 36 months,D,vacation,new,RENT,Source Verified,,40034.5,,16.91,,115.87,,16.785,,3250,,1883,,94.4,,3655.064484
 36 months,D,vacation,new,RENT,Verified,,40500,,11.32,,272.77,,15.62,,7800,,1980,,50.8,,9517.260678
 36 months,D,vacation,old,MORTGAGE,Not Verified,,82500,,15.29,,192.2,,16.165,,5500,,21859,,46.9,,6784.355652
 36 months,D,vacation,old,MORTGAGE,Source Verified,,91000,,17.62,,51.67,,14.54,,1500,,47955,,94.4,,1855.787361
 36 months,D,vacation,old,MORTGAGE,Verified,,55000,,8.33,,173.85,,15.21,,5000,,941,,20.5,,6258.477539
 36 months,D,vacation,old,OWN,Source Verified,,24000,,12.15,,70.61,,16.29,,2000,,4262,,85.2,,2541.534174
 36 months,D,vacation,old,RENT,Not Verified,,59000,,9.66,,86.62,,14.96,,2500,,19487,,86.6,,3117.977374
 36 months,D,vacation,old,RENT,Source Verified,,40000,,5.88,,179.77,,16.89,,5050,,5598,,80,,6420.680253
 36 months,D,wedding,mid,MORTGAGE,Not Verified,120000,58750,12.84,16.03,353.01,208.97,16.29,15.33,10000,6000,21927,3687,60.8,92.2,8711.61,6746.646507
 36 months,D,wedding,mid,MORTGAGE,Source Verified,,91000,,8.44,,353.16,,16.32,,10000,,1877,,28.9,,12616.25535
 36 months,D,wedding,mid,MORTGAGE,Verified,,71500,,13.955,,387.19,,15.85,,11000,,13145.5,,34.7,,13942.82801
 36 months,D,wedding,mid,OWN,Not Verified,,51400,,3.64,,261.82,,16.72,,7400,,5383.5,,80.7,,8846.517232
 36 months,D,wedding,mid,OWN,Source Verified,,36000,,20.83,,141.21,,16.29,,4000,,364,,72.8,,5083.16864
 36 months,D,wedding,mid,OWN,Verified,,70000,,8.49,,281.06,,15.95,,8000,,17524,,70.1,,10002.61583
 36 months,D,wedding,mid,RENT,Not Verified,43000,36000,4.54,13.8,251.62,207.87,16.13,14.96,7100,6000,947,3633,46.1,65.3,2537.815,7483.309257
 36 months,D,wedding,mid,RENT,Source Verified,,294000,,8.735,,324.625,,16.155,,9200,,3060.5,,48.9,,10646.37698
 36 months,D,wedding,mid,RENT,Verified,,45000,,10.94,,338.68,,14.74,,10000,,4450,,37.1,,12212.98825
 36 months,D,wedding,new,MORTGAGE,Not Verified,,66500,,8.775,,277.615,,14.9,,8000,,6043,,42.25,,9500.203704
 36 months,D,wedding,new,MORTGAGE,Source Verified,,117000,,15.42,,165.32,,14.54,,4800,,19889,,84.3,,5951.266701
 36 months,D,wedding,new,MORTGAGE,Verified,,95000,,16.94,,527.29,,15.99,,15000,,12721,,95.6,,18982.04798
 36 months,D,wedding,new,OWN,Not Verified,,54996,,12.59,,273.84,,14.11,,8000,,6844,,75.2,,9810.862817
 36 months,D,wedding,new,OWN,Source Verified,,60000,,9.06,,752.87,,14.09,,22000,,8097,,22.9,,26618.65921
 36 months,D,wedding,new,OWN,Verified,,65000,,4.23,,174.24,,15.37,,5000,,5239,,22.6,,5761.542366
 36 months,D,wedding,new,RENT,Not Verified,61000,40500,12.59,11.875,275.81,156.38,14.61,15.29,8000,4500,15183,6685.5,70.3,73.6,3032.41,5629.431937
 36 months,D,wedding,new,RENT,Source Verified,41000,55000,20.31,8.79,248.77,264.76,16.77,15.62,7000,7500,28651,3845,97.8,38.3,1582.19,8626.95439
 36 months,D,wedding,new,RENT,Verified,,62250,,7.105,,451.29,,15.075,,13000,,8038,,49.7,,15806.57474
 36 months,D,wedding,old,MORTGAGE,Not Verified,,85000,,14.655,,258.795,,14.715,,7500,,2600,,53.7,,9051.430333
 36 months,D,wedding,old,MORTGAGE,Source Verified,,50000,,12.72,,228.49,,15.95,,6500,,6294,,53.7,,7905.188735
 36 months,D,wedding,old,MORTGAGE,Verified,,105924,,9.82,,424.8,,15.33,,12000,,8478,,35.8,,15292.48587
 36 months,D,wedding,old,RENT,Not Verified,37000,70000,14.14,14.745,519.7,219,14.96,15.625,15000,6250,7186,9763,55.7,72.45,10731.03,7572.88354
 36 months,D,wedding,old,RENT,Source Verified,48000,37000,1.75,19.33,619.23,207.53,14.46,14.84,18000,6000,4259,1166,37.7,60.4,3811.73,7456.186809
 36 months,D,wedding,old,RENT,Verified,,130722,,10.145,,537.52,,16.58,,15300,,16710,,71.15,,18713.4203
 36 months,E,car,mid,MORTGAGE,Verified,,60000,,14.42,,367.52,,15.68,,10500,,24151,,61.1,,13151.97819
 36 months,E,car,mid,OWN,Verified,,41496,,22.93,,260.27,,17.99,,7200,,6704,,90.6,,9369.300748
 36 months,E,car,new,OWN,Verified,57000,,6.84,,734.83,,17.74,,20400,,1820,,42.3,,20830.16,
 36 months,E,car,new,RENT,Not Verified,,30000,,22.29,,185.89,,17.19,,5200,,1815,,43.2,,6692.185865
 36 months,E,car,new,RENT,Source Verified,,4800,,5,,84.38,,16,,2400,,299,,99.7,,2970.265152
 36 months,E,car,new,RENT,Verified,,47998,,3.73,,175.79,,16.32,,5000,,3218,,50,,5491.504572
 36 months,E,car,old,RENT,Not Verified,,70200,,4.92,,267.56,,16.45,,7500,,8398,,59.3,,9261.569518
 36 months,E,car,old,RENT,Source Verified,,48000,,5.35,,109.43,,18.64,,3000,,8221,,87.5,,3939.135294
 36 months,E,credit_card,mid,MORTGAGE,Not Verified,80000,63000,9.24,23.31,243.97,243.97,15.38,16.82,7000,7000,33102,9371,99.4,53.3,2681.12,8797.772413
 36 months,E,credit_card,mid,MORTGAGE,Verified,,229500,,15.05,,880.89,,16.16,,25000,,65167,,81.05,,28191.71101
 36 months,E,credit_card,mid,RENT,Not Verified,39000,70000,12.28,20.77,281.55,342.66,19.29,16.45,7650,10000,8064,14062,99.6,91.3,2342.9,12335.35933
 36 months,E,credit_card,mid,RENT,Source Verified,75000,,6.53,,226.28,,16.4,,6400,,6862,,96.6,,1167.19,
 36 months,E,credit_card,mid,RENT,Verified,,97000,,10.91,,872.37,,18.39,,24000,,20094,,79.6,,31500.68895
 36 months,E,credit_card,new,MORTGAGE,Not Verified,,112000,,17.94,,351.58,,16.45,,10000,,11886,,56.3,,12656.53007
 36 months,E,credit_card,new,MORTGAGE,Source Verified,,150000,,12.33,,526.99,,17.19,,15000,,99630,,89.6,,17872.83023
 36 months,E,credit_card,new,MORTGAGE,Verified,,106000,,17.005,,800.265,,18.385,,22000,,37368.5,,81.65,,26922.0014
 36 months,E,credit_card,new,RENT,Not Verified,14400,60000,15.67,13.905,35.5,426.23,16.69,18.39,1000,11825,2924,8794,81.2,96.2,141.48,15178.36796
 36 months,E,credit_card,new,RENT,Source Verified,,52500,,13.275,,442.125,,16.905,,12500,,15492.5,,92.3,,15254.58491
 36 months,E,credit_card,new,RENT,Verified,,88000,,12.81,,424.56,,16.82,,12000,,15575,,95.5,,15284.81132
 36 months,E,credit_card,old,MORTGAGE,Not Verified,,109000,,22.49,,636.8,,16.45,,18000,,31244,,75.8,,19398.45875
 36 months,E,credit_card,old,MORTGAGE,Source Verified,,70887,,13.655,,649.935,,19.225,,17700,,16535.5,,98.6,,21350.22705
 36 months,E,credit_card,old,MORTGAGE,Verified,170000,108000,8.49,15.205,529.73,480.245,16.32,16.49,15000,13600,29236,38235.5,85.3,82.8,10593.2,17166.44109
 36 months,E,credit_card,old,OTHER,Verified,60000,,21.46,,565.02,,16.32,,16000,,20702,,82.5,,3952.48,
 36 months,E,credit_card,old,OWN,Verified,,60000,,22.72,,731,,18.79,,20000,,14375,,68.4,,26327.20324
 36 months,E,credit_card,old,RENT,Not Verified,,57000,,24.21,,424.56,,16.45,,12000,,27741,,98,,15167.44716
 36 months,E,credit_card,old,RENT,Source Verified,,47340.5,,18.705,,508.44,,17.035,,14237.5,,18462,,90.95,,18303.67028
 36 months,E,credit_card,old,RENT,Verified,,77400,,10.395,,401.105,,16.36,,11375,,19380,,87.85,,14459.34797
 36 months,E,debt_consolidation,mid,MORTGAGE,Not Verified,65600,75000,15.54,15.845,361.48,427.815,16.82,16.35,10000,12000,11975,14309,94.2,83.55,5718.08,14020.75902
 36 months,E,debt_consolidation,mid,MORTGAGE,Source Verified,98000,96150,11.41,15.535,530.33,724.33,16.4,17.535,15000,23500,4414,29012,81.7,79.95,3174.78,23090.86074
 36 months,E,debt_consolidation,mid,MORTGAGE,Verified,85008,100000,15.38,14.63,525.03,786.45,16.45,16.82,15000,22000,15847,19769,59.5,79,7702.92,26722.39252
 36 months,E,debt_consolidation,mid,OWN,Not Verified,,62972,,23.21,,530.33,,16.4,,15000,,19828,,53.6,,18155.33238
 36 months,E,debt_consolidation,mid,OWN,Verified,,80000,,17.46,,889.28,,17.99,,24250,,30011,,73.2,,32056.46996
 36 months,E,debt_consolidation,mid,RENT,Not Verified,36000,55044,9.5,16.66,264.04,488.15,19.03,16.82,7200,13750,10293,13964,99.5,96.5,6564.2,17283.16218
 36 months,E,debt_consolidation,mid,RENT,Source Verified,60000,76000,16.24,12.62,327.14,466.685,17.93,17.165,9000,13000,8225,9003.5,97.9,91.5,1041.39,16632.28037
 36 months,E,debt_consolidation,mid,RENT,Verified,84000,70000,17.67,16.75,535.77,525.03,18.39,16.32,15250,15000,12145,9978,82.6,90.8,5777.74,16693.3083
 36 months,E,debt_consolidation,new,MORTGAGE,Not Verified,112450,67000,14.78,13.12,755.59,490.03,17.475,16.32,20987.5,14000,14879,12736,91.95,81.6,7465.915,16282.46884
 36 months,E,debt_consolidation,new,MORTGAGE,Source Verified,115000,76000,7.11,13.065,1203.66,530.02,18.64,16.61,33000,15000,23848,16656.5,48.3,73.1,36040.93,18438.43734
 36 months,E,debt_consolidation,new,MORTGAGE,Verified,73400,125000,12.04,16.42,720.42,638.46,17.74,16.95,20000,20000,32081,26695,71.1,86.9,4468.63,22717.29623
 36 months,E,debt_consolidation,new,OTHER,Not Verified,,48500,,14.57,,681.43,,15.57,,19500,,15563,,50.9,,22152.97121
 36 months,E,debt_consolidation,new,OTHER,Verified,,46000,,7.93,,532.05,,16.63,,15000,,14608,,94.9,,19153.72117
 36 months,E,debt_consolidation,new,OWN,Not Verified,26000,31200,15.83,9.065,300.71,349.225,16.45,16.525,8500,9875,9306,2740.5,97.6,49.85,6203.99,10539.39779
 36 months,E,debt_consolidation,new,OWN,Source Verified,,60000,,6.6,,353.55,,17.51,,10000,,4709,,92.3,,12727.9502
 36 months,E,debt_consolidation,new,OWN,Verified,,48000,,13.85,,547.12,,17.14,,15000,,8969,,66.6,,18723.89938
 36 months,E,debt_consolidation,new,RENT,Not Verified,34300,48000,14.225,14.04,230.98,316.42,16.93,16.82,6500,9000,4402.5,7453,93.3,82.8,2360.185,10184.08865
 36 months,E,debt_consolidation,new,RENT,Source Verified,36000,53315,6.965,11.68,194.425,321.975,16.45,16.82,5500,10000,5931,5683.5,67.95,79.65,2310.575,10058.85466
 36 months,E,debt_consolidation,new,RENT,Verified,50000,74500,12.65,16.605,357.23,655.89,17.14,16.93,13000,18500,12056,19381.5,93.8,80.6,4886.76,23339.54527
 36 months,E,debt_consolidation,old,MORTGAGE,Not Verified,41760,72400,16.3,18.93,175.79,459.94,16,16.82,5000,13000,4332,17353,51.9,86.7,3674.47,16497.18387
 36 months,E,debt_consolidation,old,MORTGAGE,Source Verified,85000,68000,14.81,9.78,882.89,357.23,18.79,17.93,24000,10000,31881,11819,98.7,89,7104.76,11395.33434
 36 months,E,debt_consolidation,old,MORTGAGE,Verified,97584,96000,11.15,17.41,542.22,740.12,16.95,17.43,15000,20000,13672,23156,92.5,82.4,7969.95,25607.00848
 36 months,E,debt_consolidation,old,OWN,Not Verified,82200,,17.7,,364.565,,17.42,,10250,,27333.5,,86.15,,4518.82,
 36 months,E,debt_consolidation,old,OWN,Source Verified,,40000,,11.73,,190.44,,18.055,,5187.5,,7483.5,,99.25,,6816.430993
 36 months,E,debt_consolidation,old,OWN,Verified,70000,123500,12.67,12.255,222.5,542.49,18.64,18.34,6100,15000,14731,28509.5,77.6,56.05,3997.62,17691.72695
 36 months,E,debt_consolidation,old,RENT,Not Verified,37750,55277.5,11.025,14.26,519.01,373.13,17.545,16.76,14500,10500,9141.5,12241,76.25,89.2,3519.12,13433.53388
 36 months,E,debt_consolidation,old,RENT,Source Verified,62000,54000,5.34,14.78,318.42,393.23,16.45,17.99,9000,11000,7229,9760,83.2,92.5,5109.42,13678.03659
 36 months,E,debt_consolidation,old,RENT,Verified,85000,70000,14.76,14.53,559.97,550.07,17.88,17.14,15850,17500,14097,13324,71.6,79,11747.07,19725.8201
 36 months,E,educational,mid,MORTGAGE,Not Verified,12000,,11.8,,113.76,,15.68,,3250,,3352,,79.8,,2019.43,
 36 months,E,educational,mid,RENT,Not Verified,,46004,,12.96,,238.49,,15.625,,6850,,12222.5,,78.35,,8599.316279
 36 months,E,educational,mid,RENT,Source Verified,32108,,23.88,,87.51,,15.68,,2500,,8072,,92.8,,791.52,
 36 months,E,educational,mid,RENT,Verified,,48000,,13.26,,421.89,,16,,12000,,2626,,61.1,,12622.45556
 36 months,E,educational,new,RENT,Not Verified,29500,20000,4.91,6.3,139.405,112.51,17.255,16,3900,3200,1376,1715,90.3,39.9,3613.608783,4041.427722
 36 months,E,educational,new,RENT,Source Verified,,30000,,5.76,,225.01,,16,,6400,,395,,1.7,,7677.509163
 36 months,E,educational,new,RENT,Verified,,36000,,24.03,,209.32,,15.45,,6000,,6668,,40.9,,7270.831582
 36 months,E,home_improvement,mid,MORTGAGE,Not Verified,,91000,,13.46,,179.67,,17.56,,5000,,9826,,97.3,,5540.419215
 36 months,E,home_improvement,mid,MORTGAGE,Verified,,55050,,11.685,,523.735,,16.595,,14750,,18607,,58.3,,18841.6835
 36 months,E,home_improvement,mid,RENT,Verified,,44480,,15.275,,281.69,,17.74,,7800,,4357.5,,56.65,,9924.540428
 36 months,E,home_improvement,new,MORTGAGE,Not Verified,61200,61500,10.98,10.245,533.78,283.74,15.68,15.8,15250,8000,27174,6688,39.3,59.15,2918.75,9359.340628
 36 months,E,home_improvement,new,MORTGAGE,Source Verified,106000,59002,14,12.68,898.31,293.675,17.56,17.235,25000,8000,28282,11120,98.2,89.55,13567.7,10577.21705
 36 months,E,home_improvement,new,MORTGAGE,Verified,67500,40002,16.11,20.13,530.025,132.905,16.19,16.635,15000,3750,907.5,12537.5,41.915,78.1,4228.88,4781.40878
 36 months,E,home_improvement,new,OWN,Not Verified,,31200,,17.19,,247.31,,16.35,,7000,,0,,33.29,,8899.560041
 36 months,E,home_improvement,new,OWN,Source Verified,,79200,,7.03,,535.84,,17.14,,15000,,1391,,24.4,,18158.60438
 36 months,E,home_improvement,new,RENT,Not Verified,,38000,,10.36,,88.45,,16.45,,2500,,417,,59.6,,3184.089716
 36 months,E,home_improvement,new,RENT,Verified,,70000,,12.31,,353.55,,16.4,,10000,,29,,0.4,,12662.71115
 36 months,E,home_improvement,old,MORTGAGE,Not Verified,,78000,,5.64,,423.95,,16.45,,12000,,3694,,64.8,,13635.38828
 36 months,E,home_improvement,old,MORTGAGE,Source Verified,149056,,10.385,,332.125,,19.665,,9000,,35344,,71.35,,10569.375,
 36 months,E,home_improvement,old,MORTGAGE,Verified,38644,123250,18.6,10.245,486.47,537.755,16.45,17.35,13750,15000,1477,10253,73.8,36.3,3924.65,18126.3431
 36 months,E,home_improvement,old,OWN,Not Verified,,73000,,0.2,,176.89,,16.45,,5000,,401,,57.3,,5595.434137
 36 months,E,home_improvement,old,RENT,Not Verified,70000,,14.97,,385.02,,15.68,,11000,,9649,,50.5,,10434.58,
 36 months,E,home_improvement,old,RENT,Verified,,120000,,20.67,,491.37,,15.88,,14000,,69937,,97.8,,17739.27373
 36 months,E,house,mid,RENT,Source Verified,60000,,1.48,,212.27,,16.45,,6000,,2466,,70.5,,2124.78,
 36 months,E,house,new,MORTGAGE,Not Verified,26000,,12.23,,353.8,,16.45,,10000,,8386,,94.2,,8567.41,
 36 months,E,house,new,OWN,Not Verified,,52000,,18.18,,701.16,,16.7,,19750,,12532,,57,,23487.65596
 36 months,E,house,new,RENT,Not Verified,,50000,,12.19,,213.24,,16.77,,6000,,3280,,99.4,,7676.185158
 36 months,E,house,new,RENT,Source Verified,,36000,,4.3,,357.48,,17.19,,10000,,3147,,74.9,,12870.18008
 36 months,E,house,new,RENT,Verified,,95000,,24.19,,245.69,,15.88,,7000,,590,,84.3,,8844.598556
 36 months,E,house,old,RENT,Not Verified,26000,,4.62,,354.7,,16.63,,10000,,5785,,54.6,,7093.34,
 36 months,E,major_purchase,mid,OWN,Not Verified,,43200,,2.39,,456.73,,15.95,,13000,,1493,,19.6,,16443.28343
 36 months,E,major_purchase,mid,RENT,Not Verified,,54996,,5.32,,147.56,,15.95,,4200,,1966,,93.6,,5312.318194
 36 months,E,major_purchase,mid,RENT,Source Verified,,19200,,2.5,,106.07,,16.4,,3000,,1485,,55,,3880.210961
 36 months,E,major_purchase,new,MORTGAGE,Source Verified,,225000,,6.29,,1113.54,,19.91,,30000,,16113,,52.3,,40032.84959
 36 months,E,major_purchase,new,RENT,Not Verified,,32000,,13.41,,259.08,,16.7,,7500,,3262,,72.9,,9326.552268
 36 months,E,major_purchase,new,RENT,Source Verified,36000,49998,0.4,10.165,180.74,178.62,17.99,17.23,5000,5000,411,2486.5,1.2,82.15,720.84,6236.153378
 36 months,E,major_purchase,new,RENT,Verified,37000,60000,13.725,10.64,272.795,173.65,17.935,18.39,7500,5000,1858,3320,59.75,84.4,6369.025,6251.187621
 36 months,E,major_purchase,old,MORTGAGE,Not Verified,,90996,,9.02,,461.75,,16.32,,20000,,8040,,79.6,,16587.63205
 36 months,E,major_purchase,old,MORTGAGE,Source Verified,,80000,,18.52,,433.77,,17.99,,12000,,15519,,91.8,,12742.78311
 36 months,E,major_purchase,old,OWN,Not Verified,,60000,,15.22,,229.97,,16.45,,6500,,12017,,69.5,,8279.154333
 36 months,E,major_purchase,old,RENT,Verified,108000,43212,23.14,3.14,144.47,709.98,17.93,16.69,4000,20000,34351,4300,92.4,76.8,3028.2,24179.66368
 36 months,E,medical,mid,MORTGAGE,Not Verified,,54000,,6.51,,255.32,,18.64,,7000,,452,,9.2,,9210.416762
 36 months,E,medical,new,OWN,Not Verified,,52415,,17.235,,326.865,,16.225,,9250,,10923.5,,87.2,,10206.3232
 36 months,E,medical,new,RENT,Not Verified,,33728,,14.675,,181.295,,15.6,,5200,,2409,,38.8,,6464.743609
 36 months,E,medical,new,RENT,Source Verified,60000,,12.02,,351.33,,15.95,,10000,,7809,,92.2,,4867.4,
 36 months,E,medical,new,RENT,Verified,,25200,,5.57,,245.02,,15.68,,7000,,4748,,53.3,,7959.626891
 36 months,E,medical,old,MORTGAGE,Not Verified,,146000,,24.12,,88.76,,16.7,,2500,,27433,,56.8,,3195.055095
 36 months,E,medical,old,MORTGAGE,Verified,,285000,,14.36,,902.94,,17.93,,25000,,34723,,49.6,,32506.622
 36 months,E,moving,mid,OWN,Source Verified,46800,,13.36,,256.7,,19.03,,7000,,379,,37.9,,6326.11,
 36 months,E,moving,mid,RENT,Not Verified,,300000,,8.6,,902.94,,17.93,,25000,,38436,,73.2,,32310.02944
 36 months,E,moving,mid,RENT,Source Verified,30000,59250,2.48,9.865,110.41,70.665,19.29,16.385,3000,2000,3145,10650.5,95.3,99.05,2823.21,2513.09188
 36 months,E,moving,new,MORTGAGE,Not Verified,,150000,,3.7,,856.18,,17.04,,24000,,11010,,49.8,,30892.19321
 36 months,E,moving,new,RENT,Not Verified,,43000,,20.04,,111.95,,20.3,,3000,,5892,,32,,3796.839404
 36 months,E,moving,new,RENT,Source Verified,36000,26455.76,0.47,11.9,283.04,153.38,16.45,17.95,8000,4250,4331,1456.5,73.4,78.4,7718.37,5281.453261
 36 months,E,moving,new,RENT,Verified,,52600,,13.19,,143.39,,17.39,,4000,,24666,,99.1,,4114.761152
 36 months,E,other,mid,MORTGAGE,Source Verified,,140004,,3.38,,141.52,,16.45,,4000,,0,,0,,4146.52
 36 months,E,other,mid,MORTGAGE,Verified,210000,,19.33,,529.94,,16.35,,15000,,26388,,94.2,,18842.20563,
 36 months,E,other,mid,RENT,Not Verified,47000,42000,5.35,10.37,163.005,108.36,16.7,16.45,4600,3000,4846,480,87.15,96,1228.665,3851.716917
 36 months,E,other,mid,RENT,Source Verified,58000,62000,1.66,9.15,173.51,169.83,17.99,16.45,4800,4800,2074,11061,69.1,99.6,2995.89,5710.699796
 36 months,E,other,mid,RENT,Verified,,45000,,10.56,,146.69,,17.56,,4000,,299,,99.6,,5201.762173
 36 months,E,other,new,MORTGAGE,Not Verified,,120000,,6.55,,366.83,,16.4,,10375,,14821,,85.75,,13257.14953
 36 months,E,other,new,MORTGAGE,Source Verified,160000,,14.02,,272.62,,18.39,,7500,,14105,,95.1,,4628.07,
 36 months,E,other,new,MORTGAGE,Verified,90000,200000,12.41,13.18,718.64,533.45,17.56,16.95,20000,15000,46674,47014,82.5,96,23152.31,19205.42722
 36 months,E,other,new,OTHER,Not Verified,40000,,14.1,,328.14,,15.68,,9600,,4485,,25.8,,1059.22,
 36 months,E,other,new,OTHER,Source Verified,,38400,,2.31,,281.26,,16,,8000,,3292,,58.8,,10024.32602
 36 months,E,other,new,OWN,Not Verified,75996,20000,21.79,8.28,252.65,355.62,17.88,16.82,7000,10000,5855,598,48.4,99.7,5721.2,12802.86438
 36 months,E,other,new,OWN,Verified,,31002,,12.345,,427.85,,16.435,,12125,,2256,,53.25,,15403.06589
 36 months,E,other,new,RENT,Not Verified,34560,31100,8.65,11.315,44.17,141.07,19.29,16.795,1200,4000,11238,2827,99.5,92,96.96,5034.480139
 36 months,E,other,new,RENT,Source Verified,24000,48000,10.72,10.575,110.02,340.855,18.64,17.775,3000,9450,2758,7635.5,98.7,94.4,1125.32,12218.97801
 36 months,E,other,new,RENT,Verified,54996,51000,0.33,8.74,176.78,229.64,16.4,16.82,5000,6500,391,2420,97.7,87.3,4734.83,8282.010536
 36 months,E,other,old,MORTGAGE,Not Verified,72000,71760,15.62,17.82,72.7,111.36,18.39,19.03,2000,3000,4766,988,99.3,94,708.1,3789.221506
 36 months,E,other,old,MORTGAGE,Source Verified,65600,,9.46,,742.93,,16.45,,21000,,7842,,95.6,,19736.86,
 36 months,E,other,old,MORTGAGE,Verified,,87498,,9.81,,598.79,,16.45,,17000,,7166,,82.45,,20485.4374
 36 months,E,other,old,RENT,Not Verified,64100,57500,18.475,20.65,262.095,413.645,16.575,16.01,7400,11750,9493,7811,70.4,63.6,4624.4,14638.32943
 36 months,E,other,old,RENT,Source Verified,47000,75912,12.94,17.215,145.9,145.485,18.64,18.36,4000,4000,2476,16133.5,99,98.35,2335.22,5021.247876
 36 months,E,renewable_energy,mid,OWN,Not Verified,,22320,,20.65,,35.32,,16.32,,1000,,4455,,99.3,,1171.080252
 36 months,E,small_business,mid,MORTGAGE,Source Verified,,82000,,0.86,,354.99,,16.69,,10000,,0,,0,,12418.93797
 36 months,E,small_business,mid,MORTGAGE,Verified,55000,100400,2.27,24.17,412.09,353.55,17.99,16.4,11400,10000,2905,23220,15.6,64.4,7393.17,10678.47074
 36 months,E,small_business,mid,RENT,Not Verified,52500,79500,8.28,16.095,376.69,377.825,16.525,16.015,10625,10750,684.5,22474.5,3.75,64.3,9742.085,13072.51501
 36 months,E,small_business,mid,RENT,Source Verified,,50000,,13.66,,89.19,,17.04,,2500,,11999,,96.8,,3210.616662
 36 months,E,small_business,mid,RENT,Verified,,102000,,14.24,,300.28,,17.19,,8400,,27609,,98.6,,10272.04049
 36 months,E,small_business,new,MORTGAGE,Not Verified,63000,79502,14.45,11.385,350.02,354,16.35,16.35,10000,10000,20429,17282,66.1,52.25,4316.7,12679.05654
 36 months,E,small_business,new,MORTGAGE,Source Verified,50000,50000,7.92,8.84,527.36,346.08,16,16.32,15000,9800,5918,7053,98.6,22,8856.02,12476.10647
 36 months,E,small_business,new,MORTGAGE,Verified,68000,86500,8.4,7.21,540.32,640.505,17.74,16.315,15000,18000,692,15722,11.5,24.5,11149.82,22008.73939
 36 months,E,small_business,new,OTHER,Not Verified,,96000,,15.46,,425.64,,16.63,,12000,,24249,,97,,14303.18617
 36 months,E,small_business,new,OWN,Not Verified,108500,32000,12.83,17.48,537.715,158.21,17.39,16,15000,4500,25188,1404,95.65,93.6,15241.06,5727.618359
 36 months,E,small_business,new,RENT,Not Verified,44180,50000,9.205,9.96,378.695,214.05,16.7,16.7,10700,6000,8217,3062,66.7,31.7,6149.815,7016.65391
 36 months,E,small_business,new,RENT,Verified,60000,53500,1.92,5.31,673.04,356.27,16.82,16.7,25000,10000,6265,5206,81.4,45.3,18050.13,13214.29138
 36 months,E,small_business,old,MORTGAGE,Not Verified,,69000,,0.57,,185.89,,17.04,,5200,,3594,,69.9,,6692.01512
 36 months,E,small_business,old,MORTGAGE,Source Verified,70000,,6.48,,212.28,,16.45,,6000,,4185,,90,,5835.1,
 36 months,E,small_business,old,MORTGAGE,Verified,,92000,,8.32,,867.105,,17.74,,24500,,23659.5,,64.7,,31216.28829
 36 months,E,small_business,old,RENT,Source Verified,,90000,,8.36,,508.69,,17.82,,17500,,1785,,47.05,,16766.42557
 36 months,E,small_business,old,RENT,Verified,118000,80000,12.5,2.65,713.49,716.95,16.63,17.39,20000,20000,21048,6043,58.1,72.6,9936.5,25811.09684
 36 months,E,vacation,mid,MORTGAGE,Source Verified,,77705.4,,0.93,,142.16,,16.77,,4000,,1992,,86.6,,4961.224336
 36 months,E,vacation,mid,MORTGAGE,Verified,,75000,,10.99,,107.25,,17.19,,3000,,9567,,98.5,,3860.892728
 36 months,E,vacation,new,MORTGAGE,Not Verified,,50300,,11.12,,36.35,,18.39,,1000,,9959,,95.8,,1308.521013
 36 months,E,vacation,new,RENT,Not Verified,,22000,,15.81,,101.195,,17.32,,2850,,6523,,98.9,,3642.594038
 36 months,E,vacation,old,MORTGAGE,Not Verified,,80000,,20.59,,146.69,,19.03,,4000,,6654,,22.6,,4341.504299
 36 months,E,vacation,old,RENT,Source Verified,,83750,,11.185,,407.295,,17.195,,11500,,21093,,90.4,,14174.88074
 36 months,E,wedding,mid,RENT,Not Verified,,78000,,19.26,,342.94,,17.14,,9600,,8725,,33.9,,12350.38894
 36 months,E,wedding,mid,RENT,Source Verified,,50000,,6.38,,238.5,,20.2,,6400,,0,,0,,8547.148396
 36 months,E,wedding,new,MORTGAGE,Source Verified,,140000,,10.1,,541.39,,17.88,,15000,,17466,,85.2,,19466.92432
 36 months,E,wedding,new,RENT,Not Verified,,43000,,3.565,,250.295,,16.135,,7100,,4907,,74.05,,9047.173654
 36 months,E,wedding,new,RENT,Verified,49400,80500,10.91,3.85,638.46,535.24,16.63,16.45,18000,15000,6241,9386,21,58.7,2671.78,15237.82299
 36 months,E,wedding,old,OWN,Not Verified,,95000,,21.66,,882.89,,16.32,,25000,,11339,,94.5,,31785.08509
 36 months,E,wedding,old,RENT,Source Verified,,34868.4,,4.37,,152.11,,6,,5000,,2295,,38.9,,5936.962272
 36 months,F,credit_card,mid,MORTGAGE,Verified,75000,71007,21.94,21.96,921.6,911.61,19.41,18.62,25000,25000,6439,18307,93.3,47.6,12900.23,31947.37142
