,,,,,,annual_inc,annual_inc,dti,dti,installment,installment,int_rate,int_rate,loan_amnt,loan_amnt,revol_bal,revol_bal,revol_util,revol_util,total_pymnt,total_pymnt
loan_status,,,,,,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid,Charged Off,Fully Paid
term,grade,purpose,emp_length,home_ownership,verification_status,,,,,,,,,,,,,,,,
 36 months,A,debt_consolidation,mid,OTHER,Not Verified,,35004,,22.76,,584.92,,9.63,,18225,,4407,,9.2,,20994.16928
 36 months,A,debt_consolidation,mid,OWN,Not Verified,35000,44000,17.07,16.74,261.98,226.145,7.51,7.49,8300,7250,5618,7232.5,41.6,24.5,4248.17,8042.294277
 36 months,A,debt_consolidation,mid,OWN,Source Verified,21500,47000,12.535,14.97,191.86,252.51,8.195,7.49,6100,8000,4688,9172,36.55,38.1,4859.205,8733.652901
 36 months,A,debt_consolidation,mid,OWN,Verified,,42000,,12.14,,316.64,,7.66,,12000,,7811,,45,,11338.81008
 36 months,A,debt_consolidation,mid,RENT,Not Verified,33500,50000,21.27,13.22,195.285,248.08,7.89,7.51,6312.5,8000,8634.5,7235,43.25,33.9,2316.22,8784.21363
 36 months,A,debt_consolidation,mid,RENT,Source Verified,39000,50000,9.89,13.5,187.69,276.01,6.54,7.29,6000,9000,3037,8155,22.5,33.1,2035.99,9849.576097
 36 months,A,debt_consolidation,mid,RENT,Verified,50000,60000,15.07,14.88,320.95,368.01,7.9,7.49,10000,12000,5597,8010,26.3,30.9,8431.31,12939.5
 36 months,A,debt_consolidation,new,MORTGAGE,Not Verified,43200,61200,14.26,12.39,280.97,242.67,7.51,7.51,9000,8000,10046,9635,28.1,28.8,5373.25,8485.700848
 36 months,A,debt_consolidation,new,MORTGAGE,Source Verified,43200,65000,12.73,11.92,350.01,277.57,6.54,6.99,11500,9600,9056,9891,31.2,34.1,7698.9,9571.453339
 36 months,A,debt_consolidation,new,MORTGAGE,Verified,53148,75747,14.78,14.525,443.91,371.71,7.51,7.5,15000,12000,5272,14255,24.4,39.25,6659.1,13344.33373
 36 months,A,debt_consolidation,new,OTHER,Not Verified,25000,49000,19.15,14.57,350.34,181.895,7.88,8.815,11200,5750,10485,2324,36.2,10.25,10854.65,6545.8729
 36 months,A,debt_consolidation,new,OTHER,Verified,,34833,,18.46,,204.61,,8.66,,6500,,5269,,6.95,,7365.213101
 36 months,A,debt_consolidation,new,OWN,Not Verified,26000,39996,15.69,13.32,220.83,203.34,7.49,7.74,7100,6600,9657,6775,33.6,25.4,3269.67,7193.400671
 36 months,A,debt_consolidation,new,OWN,Source Verified,,39750,,13.385,,219.47,,7.585,,7375,,7500.5,,39.5,,7591.207825
 36 months,A,debt_consolidation,new,OWN,Verified,75000,43250,9.76,16.88,373.33,353.985,7.51,7.4,12000,11500,14022,11466,52.2,29.3,12509.67,12447.98787
 36 months,A,debt_consolidation,new,RENT,Not Verified,35750,45999.96,14.065,12.73,194.22,205.11,7.81,7.51,6450,7000,6788,6702,36.4,32,3894.425,7246.390877
 36 months,A,debt_consolidation,new,RENT,Source Verified,32800,47000,12.235,13.54,307.8,234.36,7.77,7.49,9725,8000,9676,6561,57.85,34.7,6900.86,8358.359965
 36 months,A,debt_consolidation,new,RENT,Verified,31000,55035,9.02,14.875,311.11,311.065,7.51,7.49,10000,10000,3339,7496,9.8,29.75,5480.17,11102.43523
 36 months,A,debt_consolidation,old,MORTGAGE,Not Verified,50000,65000,13.32,11.95,204.775,276.82,7.49,7.29,6600,9000,13419.5,11107.5,30.15,24.9,4513.195,9791.080735
 36 months,A,debt_consolidation,old,MORTGAGE,Source Verified,58044,72500,16.33,10.91,320.95,311.11,7.9,7.29,10000,10000,15851,11456,52.4,30,5021.37,11028.11852
 36 months,A,debt_consolidation,old,MORTGAGE,Verified,48886.32,72500,11.34,13.54,349.07,379.905,7.49,7.49,11375,13125,9335.5,16001,27.65,35.4,3277.825,13528.8347
 36 months,A,debt_consolidation,old,OTHER,Verified,,110000,,0.46,,255.58,,9.32,,8000,,2373,,4.1,,9189.11913
 36 months,A,debt_consolidation,old,OWN,Not Verified,65000,45000,9.89,13.45,187.75,278.48,7.88,7.49,6000,9475,5222,10722,20.8,28.2,5691.77,9809.867305
 36 months,A,debt_consolidation,old,OWN,Source Verified,27852,49441.6,21.33,16.79,347.2,241.33,8.49,6.99,11000,9500,4824,10161,67.9,28.7,4513.32,8531.048243
 36 months,A,debt_consolidation,old,OWN,Verified,,70000,,15.64,,433.18,,7.49,,14400,,18424,,40.9,,15141.71149
 36 months,A,debt_consolidation,old,RENT,Not Verified,38400,50000,14.19,13.17,243.34,248.82,7.9,7.49,8000,8000,11336,7625,46.9,30.7,3294.53,8646.68772
 36 months,A,debt_consolidation,old,RENT,Source Verified,50582,54996,16.8,15,217.78,279.09,7.51,7.37,7000,9600,7901,8529,49.4,35.4,2607.36,9739.351376
 36 months,A,debt_consolidation,old,RENT,Verified,55000,60000,20.86,14.18,298.67,370.09,7.14,7.29,9600,12000,6738,12858,63,35.8,7120.37,13169.88524
 36 months,A,educational,mid,MORTGAGE,Not Verified,,41000,,8.8,,191.69,,7.74,,6000,,9580,,31.5,,6900.429918
 36 months,A,educational,mid,RENT,Not Verified,,40000,,12.32,,190.63,,7.74,,6000,,3233,,13.3,,6229.75
